ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
67,-5654449704836290694,https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694,200,VERIFIED_IDENTICAL,0067_2014-09-03_Cadillac surface application 2014.pdf,Cadillac surface application 2014.jpg,2014-09-03,157820,145ac35a8229515a373424b6c7c2e16ffdf4fa3c54a96a0ef6f143ad6daf0088,
68,6466431524347949415,https://mienviro.michigan.gov/ncore/downloadpdf/6466431524347949415,200,VERIFIED_IDENTICAL,0068_2014-10-09_DEQ Test Data Evaluation Form.pdf,DEQ Test Data Evaluation Form.doc,2014-10-09,63511,06d21f43811f1ad06a9c035d624d11241df66b1f0860683a638e0cbe77003290,
69,6087030119021648324,https://mienviro.michigan.gov/ncore/downloadpdf/6087030119021648324,200,VERIFIED_IDENTICAL,0069_2014-10-09_Pre-Inspection Report.pdf,Pre-Inspection Report.doc,2014-10-09,118617,dd5fb72d29bdd405b91cc9d69f4ecdbaedcb454afebd0968618bda7ba0078691,
70,3031965344754622253,https://mienviro.michigan.gov/ncore/downloadpdf/3031965344754622253,200,VERIFIED_IDENTICAL,0070_2014-10-17_Basis for Decision Memo-Classification.pdf,Basis for Decision Memo-Classification.doc,2014-10-17,50582,05fa7600f100f1ebc8ba8d8742f59e5886e73277e0ec05019d76460fb0b953c2,
71,-1554170949448187422,https://mienviro.michigan.gov/ncore/downloadpdf/-1554170949448187422,200,VERIFIED_IDENTICAL,0071_2014-10-20_Certified Operator Response Form.pdf,Certified Operator Response Form.doc,2014-10-20,29432,7bd6c500a9f12e34ba429591b8ee7bc9f9f2b00b8fe98170dffb8e6ec4543572,
72,-3847456507453624983,https://mienviro.michigan.gov/ncore/downloadpdf/-3847456507453624983,200,VERIFIED_IDENTICAL,0072_2014-10-21_56545 Analytical Methodology.pdf,56545 Analytical Methodology.pdf,2014-10-21,190712,b0ff04bc14fb4c620064177f7f0871943d40ff448a511d104bde18e3042dfa77,
73,-4977324678545524248,https://mienviro.michigan.gov/ncore/downloadpdf/-4977324678545524248,200,VERIFIED_IDENTICAL,0073_2014-10-21_56545 Facility Site Review.pdf,56545 Facility Site Review.pdf,2014-10-21,185816,2672bbee4cbfb8a2d963b9b3eae46c091d5401c6cd11dfe2d54cfb684b980f0f,
74,4833597761643264099,https://mienviro.michigan.gov/ncore/downloadpdf/4833597761643264099,200,VERIFIED_IDENTICAL,0074_2014-10-21_56545 Pre-Inspection Report.pdf,56545 Pre-Inspection Report.pdf,2014-10-21,406885,2afbbbc3680f99b401c8c6fba64379621dd73ac239d5fa6e97e8f2ff968a8040,
75,6099492185350595096,https://mienviro.michigan.gov/ncore/downloadpdf/6099492185350595096,200,VERIFIED_IDENTICAL,0075_2014-10-21_56545 Sampling Procedures.pdf,56545 Sampling Procedures.pdf,2014-10-21,234407,34b98dc0b45893e70b906d8f9a4e92a2a62986e832a2f5e78ce023044a441e1e,
76,5192314478678825187,https://mienviro.michigan.gov/ncore/downloadpdf/5192314478678825187,200,VERIFIED_IDENTICAL,0076_2014-10-21_56545 Self Monitoring Records.pdf,56545 Self Monitoring Records.pdf,2014-10-21,103887,1c869397a807b6b8c4eab97e5fb60c7b224d3d93c98741f93d43b988093ef04b,
