ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/30/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/29/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/24/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/23/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/22/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/21/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/20/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/16/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/15/2009 12:00:00 AM",,WRD - NPDES,E-6724-FA-3F15,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"12/31/2008 12:00:00 AM",,WRD - NPDES,E-9767-73-AED6,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/31/2008 12:00:00 AM",,WRD - NPDES,E-3D79-3C-AE8A,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"3/31/2008 12:00:00 AM",,WRD - NPDES,E-FABF-41-873B,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"2/29/2008 12:00:00 AM",,WRD - NPDES,E-614D-A8-EF15,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"2/10/2008 12:00:00 AM",,WRD - NPDES,E-614D-A8-EF15,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"2/9/2008 12:00:00 AM",,WRD - NPDES,E-614D-A8-EF15,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"2/8/2008 12:00:00 AM",,WRD - NPDES,E-614D-A8-EF15,DMR Violation Evaluation (Converted) - NPDES
Permit Language,Failure to Sample/Monitor as Required (Inspection),Active – Not Reviewed,"11/9/2007 12:00:00 AM",Failure to monitor effluent 5 time per week.,WRD - NPDES,E-69F9-EA-BDEC,Converted Data
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Reviewed/Evaluated,"4/30/2007 12:00:00 AM",,WRD - NPDES,E-73F7-6E-3F7B,DMR Violation Evaluation (Converted) - NPDES
